,Station / Province,Province,,,,,,Station / Province,Province,,,,Eastern Cape,,,Joza,Eastern Cape,,,,,,,,,CLUSTER,PROVINCE,,Cluster,,,,Murder,,,Murder,,,,CLUSTER,PROVINCE,,,,,,,,,,Province,Cluster,Station,,Province,Cluster,Station
,Nietverdiend,North West,,,Roadside,,,Roadside,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Vrede Cc,Roadside,,Free State,Vrede Cc,Roadside
,Orkney,North West,,,Robertson,,,Robertson,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Worcester Cc,Robertson,,Western Cape,Worcester Cc,Robertson
,Ottosdal,North West,,,Roedtan,,,Roedtan,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Modimolle Cc,Roedtan,,Limpopo,Modimolle Cc,Roedtan
,Ottoshoop,North West,,,Rondebosch,,,Rondebosch,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Claremont Cc,Rondebosch,,Western Cape,Claremont Cc,Rondebosch
,Phokeng,North West,,,Roodepan,,,Roodepan,Northern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Cape,Galeshewe Cc,Roodepan,,Northern Cape,Galeshewe Cc,Roodepan
,Piet Plessis,North West,,,Roodepoort,,,Roodepoort,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Honeydew Cc,Roodepoort,,Gauteng,Honeydew Cc,Roodepoort
,Potchefstroom,North West,,,Rooiberg,,,Rooiberg,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Bela Bela Cc,Rooiberg,,Limpopo,Bela Bela Cc,Rooiberg
,Pudimoe,North West,,,Roossenekal,,,Roossenekal,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Groblersdal Cc,Roossenekal,,Limpopo,Groblersdal Cc,Roossenekal
,Reivilo,North West,,,Rosebank,,,Rosebank,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Hillbrow Cc,Rosebank,,Gauteng,Hillbrow Cc,Rosebank
,Rustenburg,North West,,,Rosedale,,,Rosedale,Northern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Cape,Upington Cc,Rosedale,,Northern Cape,Upington Cc,Rosedale
,Sannieshof,North West,,,Rosendal,,,Rosendal,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Bethlehem Cc,Rosendal,,Free State,Bethlehem Cc,Rosendal
,Schweizer-Reneke,North West,,,Rossouw,,,Rossouw,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Elliot Cc,Rossouw,,Eastern Cape,Elliot Cc,Rossouw
,Setlagole,North West,,,Rouxville,,,Rouxville,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Smithfield Cc,Rouxville,,Free State,Smithfield Cc,Rouxville
,Stella,North West,,,Rust De Winter,,,Rust De Winter,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Bela Bela Cc,Rust De Winter,,Limpopo,Bela Bela Cc,Rust De Winter
,Stilfontein,North West,,,Rustenburg,,,Rustenburg,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North West,Rustenburg Cc,Rustenburg,,North West,Rustenburg Cc,Rustenburg
,Sun City,North West,,,Saamboubrug,,,Saamboubrug,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Lephalale Cc,Saamboubrug,,Limpopo,Lephalale Cc,Saamboubrug
,Swartruggens,North West,,,Sabie,,,Sabie,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Lydenburg Cc,Sabie,,Mpumalanga,Lydenburg Cc,Sabie
,Taung,North West,,,Sakhile,,,Sakhile,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Standerton Cc,Sakhile,,Mpumalanga,Standerton Cc,Sakhile
,Tlhabane,North West,,,Saldanha,,,Saldanha,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Vredenburg Cc,Saldanha,,Western Cape,Vredenburg Cc,Saldanha
,Tshidilamolomo,North West,,,Sandringham,,,Sandringham,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Alexandra Cc,Sandringham,,Gauteng,Alexandra Cc,Sandringham
,Ventersdorp,North West,,,Sandton,,,Sandton,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Alexandra Cc,Sandton,,Gauteng,Alexandra Cc,Sandton
,Vorstershoop,North West,,,Sannieshof,,,Sannieshof,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North West,Lichtenburg Cc,Sannieshof,,North West,Lichtenburg Cc,Sannieshof
,Vryburg,North West,,,Saron,,,Saron,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Ceres Cc,Saron,,Western Cape,Ceres Cc,Saron
,Wolmaransstad,North West,,,Saselamani,,,Saselamani,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Giyani Cc,Saselamani,,Limpopo,Giyani Cc,Saselamani
,Zeerust,North West,,,Sasolburg,,,Sasolburg,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Zamdela Cc,Sasolburg,,Free State,Zamdela Cc,Sasolburg
,Aggeneys,Northern Cape,,,Sawoti,,,Sawoti,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Port Shepstone Cc,Sawoti,,Kwazulu/Natal,Port Shepstone Cc,Sawoti
,Alexander Bay,Northern Cape,,,Scenery Park,,,Scenery Park,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,East London Cc,Scenery Park,,Eastern Cape,East London Cc,Scenery Park
,Augrabies,Northern Cape,,,Schoemansdal,,,Schoemansdal,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Tonga Cc,Schoemansdal,,Mpumalanga,Tonga Cc,Schoemansdal
,Barkly West,Northern Cape,,,Schweizer-Reneke,,,Schweizer-Reneke,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North West,Wolmaransstad Cc,Schweizer-Reneke,,North West,Wolmaransstad Cc,Schweizer-Reneke
,Bathlaros,Northern Cape,,,Scottburgh,,,Scottburgh,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Port Shepstone Cc,Scottburgh,,Kwazulu/Natal,Port Shepstone Cc,Scottburgh
,Belmont,Northern Cape,,,Sea Point,,,Sea Point,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Cape Town Central Cc,Sea Point,,Western Cape,Cape Town Central Cc,Sea Point
,Boetsap,Northern Cape,,,Seafield,,,Seafield,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Port Alfred Cc,Seafield,,Eastern Cape,Port Alfred Cc,Seafield
,Bothithong,Northern Cape,,,Sebayeng,,,Sebayeng,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Polokwane Cc,Sebayeng,,Limpopo,Polokwane Cc,Sebayeng
,Brandvlei,Northern Cape,,,Sebenza,,,Sebenza,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Tembisa Cc,Sebenza,,Gauteng,Tembisa Cc,Sebenza
,Britstown,Northern Cape,,,Sebokeng,,,Sebokeng,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Sebokeng Cc,Sebokeng,,Gauteng,Sebokeng Cc,Sebokeng
,Calvinia,Northern Cape,,,Secunda,,,Secunda,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Secunda Cc,Secunda,,Mpumalanga,Secunda Cc,Secunda
,Campbell,Northern Cape,,,Sekgosese,,,Sekgosese,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Giyani Cc,Sekgosese,,Limpopo,Giyani Cc,Sekgosese
,Carnarvon,Northern Cape,,,Sekhukhune,,,Sekhukhune,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Lebowakgomo Cc,Sekhukhune,,Limpopo,Lebowakgomo Cc,Sekhukhune
,Colesberg,Northern Cape,,,Selosesha,,,Selosesha,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Selosesha Cc,Selosesha,,Free State,Selosesha Cc,Selosesha
,Danielskuil,Northern Cape,,,Senekal,,,Senekal,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Ficksburg Cc,Senekal,,Free State,Ficksburg Cc,Senekal
,De Aar,Northern Cape,,,Senwabarwana,,,Senwabarwana,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Seshego Cc,Senwabarwana,,Limpopo,Seshego Cc,Senwabarwana
,Deben,Northern Cape,,,Seshego,,,Seshego,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Seshego Cc,Seshego,,Limpopo,Seshego Cc,Seshego
,Delportshoop,Northern Cape,,,Setlagole,,,Setlagole,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North West,Vryburg Cc,Setlagole,,North West,Vryburg Cc,Setlagole
,Dingleton,Northern Cape,,,Seven Fountains,,,Seven Fountains,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Grahamstown Cc,Seven Fountains,,Eastern Cape,Grahamstown Cc,Seven Fountains
,Douglas,Northern Cape,,,Severn,,,Severn,Northern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Cape,Kuruman Cc,Severn,,Northern Cape,Kuruman Cc,Severn
,Fraserburg,Northern Cape,,,Seymour,,,Seymour,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Alice Cc,Seymour,,Eastern Cape,Alice Cc,Seymour
,Galeshewe,Northern Cape,,,Sharpeville,,,Sharpeville,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Sebokeng Cc,Sharpeville,,Gauteng,Sebokeng Cc,Sharpeville
,Garies,Northern Cape,,,Sheepmoor,,,Sheepmoor,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Piet Retief Cc,Sheepmoor,,Mpumalanga,Piet Retief Cc,Sheepmoor
,Griekwastad,Northern Cape,,,Siloam,,,Siloam,Limpopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limpopo,Thohoyandou Cc,Siloam,,Limpopo,Thohoyandou Cc,Siloam
,Groblershoop,Northern Cape,,,Silverton,,,Silverton,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Mamelodi Cc,Silverton,,Gauteng,Mamelodi Cc,Silverton
,Hanover,Northern Cape,,,Simon'S Town,,,Simon'S Town,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Muizenberg Cc,Simon'S Town,,Western Cape,Muizenberg Cc,Simon'S Town
,Hartswater,Northern Cape,,,Sinoville,,,Sinoville,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Mamelodi Cc,Sinoville,,Gauteng,Mamelodi Cc,Sinoville
,Heuningvlei,Northern Cape,,,Siyabuswa,,,Siyabuswa,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Kwamhlanga Cc,Siyabuswa,,Mpumalanga,Kwamhlanga Cc,Siyabuswa
,Hondeklip Bay,Northern Cape,,,Skukuza,,,Skukuza,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Acornhoek Cc,Skukuza,,Mpumalanga,Acornhoek Cc,Skukuza
,Hopetown,Northern Cape,,,Smithfield,,,Smithfield,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Smithfield Cc,Smithfield,,Free State,Smithfield Cc,Smithfield
,Jan Kempdorp,Northern Cape,,,Somerset East,,,Somerset East,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Graaff-Reinet Cc,Somerset East,,Eastern Cape,Graaff-Reinet Cc,Somerset East
,Kagisho,Northern Cape,,,Somerset West,,,Somerset West,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Khayelitsha Cc,Somerset West,,Western Cape,Khayelitsha Cc,Somerset West
,Kakamas,Northern Cape,,,Sophia Town,,,Sophia Town,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Jhb Central Cc,Sophia Town,,Gauteng,Jhb Central Cc,Sophia Town
,Kamieskroon,Northern Cape,,,Soshanguve,,,Soshanguve,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Ga-Rankuwa Cc,Soshanguve,,Gauteng,Ga-Rankuwa Cc,Soshanguve
,Kanoneiland,Northern Cape,,,Southport,,,Southport,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Port Shepstone Cc,Southport,,Kwazulu/Natal,Port Shepstone Cc,Southport
,Kathu,Northern Cape,,,Soutpan,,,Soutpan,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Bultfontein Cc,Soutpan,,Free State,Bultfontein Cc,Soutpan
,Keimoes,Northern Cape,,,Springbok,,,Springbok,Northern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Cape,Springbok Cc,Springbok,,Northern Cape,Springbok Cc,Springbok
,Kenhardt,Northern Cape,,,Springfontein,,,Springfontein,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Trompsburg Cc,Springfontein,,Free State,Trompsburg Cc,Springfontein
,Kimberley,Northern Cape,,,Springs,,,Springs,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Springs Cc,Springs,,Gauteng,Springs Cc,Springs
,Kleinsee,Northern Cape,,,St Faiths,,,St Faiths,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Port Shepstone Cc,St Faiths,,Kwazulu/Natal,Port Shepstone Cc,St Faiths
,Komaggas,Northern Cape,,,St Francis Bay,,,St Francis Bay,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Humansdorp Cc,St Francis Bay,,Eastern Cape,Humansdorp Cc,St Francis Bay
,Kuruman,Northern Cape,,,St Helena Bay,,,St Helena Bay,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Vredenburg Cc,St Helena Bay,,Western Cape,Vredenburg Cc,St Helena Bay
,Kuyasa,Northern Cape,,,Standerton,,,Standerton,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Standerton Cc,Standerton,,Mpumalanga,Standerton Cc,Standerton
,Lime Acres,Northern Cape,,,Stanford,,,Stanford,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Hermanus Cc,Stanford,,Western Cape,Hermanus Cc,Stanford
,Loeriesfontein,Northern Cape,,,Steenberg,,,Steenberg,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Wynberg Cc,Steenberg,,Western Cape,Wynberg Cc,Steenberg
,Loxton,Northern Cape,,,Steinkopf,,,Steinkopf,Northern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Cape,Springbok Cc,Steinkopf,,Northern Cape,Springbok Cc,Steinkopf
,Marydale,Northern Cape,,,Stella,,,Stella,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North West,Vryburg Cc,Stella,,North West,Vryburg Cc,Stella
,Middelpos,Northern Cape,,,Stellenbosch,,,Stellenbosch,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Stellenbosch Cc,Stellenbosch,,Western Cape,Stellenbosch Cc,Stellenbosch
,Modder River,Northern Cape,,,Sterkspruit,,,Sterkspruit,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Aliwal North Cc,Sterkspruit,,Eastern Cape,Aliwal North Cc,Sterkspruit
,Mothibistad,Northern Cape,,,Sterkstroom,,,Sterkstroom,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Queenstown Cc,Sterkstroom,,Eastern Cape,Queenstown Cc,Sterkstroom
,Nababeep,Northern Cape,,,Steunmekaar,,,Steunmekaar,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Trompsburg Cc,Steunmekaar,,Free State,Trompsburg Cc,Steunmekaar
,Niekerkshoop,Northern Cape,,,Steve Vukile Tshwete,,,Steve Vukile Tshwete,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,King William'S T Cc,Steve Vukile Tshwete,,Eastern Cape,King William'S T Cc,Steve Vukile Tshwete
,Nieuwoudtville,Northern Cape,,,Steynsburg,,,Steynsburg,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Aliwal North Cc,Steynsburg,,Eastern Cape,Aliwal North Cc,Steynsburg
,Noenieput,Northern Cape,,,Steynsrus,,,Steynsrus,Free State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free State,Kroonstad Cc,Steynsrus,,Free State,Kroonstad Cc,Steynsrus
,Norvalspont,Northern Cape,,,Steytlerville,,,Steytlerville,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Willowmore Cc,Steytlerville,,Eastern Cape,Willowmore Cc,Steytlerville
,Noupoort,Northern Cape,,,Stilfontein,,,Stilfontein,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North West,Klerksdorp Cc,Stilfontein,,North West,Klerksdorp Cc,Stilfontein
,Olifantshoek,Northern Cape,,,Still Bay,,,Still Bay,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Da Gamaskop Cc,Still Bay,,Western Cape,Da Gamaskop Cc,Still Bay
,Onseepkans,Northern Cape,,,Storms River,,,Storms River,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Humansdorp Cc,Storms River,,Eastern Cape,Humansdorp Cc,Storms River
,Pabalello,Northern Cape,,,Strand,,,Strand,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Khayelitsha Cc,Strand,,Western Cape,Khayelitsha Cc,Strand
,Pampierstat,Northern Cape,,,Strandfontein,,,Strandfontein,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Mitchells Plain Cc,Strandfontein,,Western Cape,Mitchells Plain Cc,Strandfontein
,Pella,Northern Cape,,,Struisbaai,,,Struisbaai,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Hermanus Cc,Struisbaai,,Western Cape,Hermanus Cc,Struisbaai
,Petrusville,Northern Cape,,,Strydenburg,,,Strydenburg,Northern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Cape,Hopetown Cc,Strydenburg,,Northern Cape,Hopetown Cc,Strydenburg
,Philipstown,Northern Cape,,,Stutterheim,,,Stutterheim,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,King William'S T Cc,Stutterheim,,Eastern Cape,King William'S T Cc,Stutterheim
,Plooysburg,Northern Cape,,,Sulenkama,,,Sulenkama,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Mount Frere Cc,Sulenkama,,Eastern Cape,Mount Frere Cc,Sulenkama
,Pofadder,Northern Cape,,,Sun City,,,Sun City,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North West,Rustenburg Cc,Sun City,,North West,Rustenburg Cc,Sun City
,Port Nolloth,Northern Cape,,,Sundra,,,Sundra,Mpumalanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mpumalanga,Witbank Cc,Sundra,,Mpumalanga,Witbank Cc,Sundra
,Postmasburg,Northern Cape,,,Sundumbili,,,Sundumbili,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Kwadukuza Cc,Sundumbili,,Kwazulu/Natal,Kwadukuza Cc,Sundumbili
,Prieska,Northern Cape,,,Sunnyside,,,Sunnyside,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Sunnyside Cc,Sunnyside,,Gauteng,Sunnyside Cc,Sunnyside
,Richmond(C),Northern Cape,,,Sunrise,,,Sunrise,Northern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Cape,De Aar Cc,Sunrise,,Northern Cape,De Aar Cc,Sunrise
,Rietfontein,Northern Cape,,,Sutherland,,,Sutherland,Northern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Cape,Calvinia Cc,Sutherland,,Northern Cape,Calvinia Cc,Sutherland
,Roodepan,Northern Cape,,,Suurbraak,,,Suurbraak,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Worcester Cc,Suurbraak,,Western Cape,Worcester Cc,Suurbraak
,Rosedale,Northern Cape,,,Swartberg,,,Swartberg,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Kokstad Cc,Swartberg,,Kwazulu/Natal,Kokstad Cc,Swartberg
,Severn,Northern Cape,,,Swartkops,,,Swartkops,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Motherwell Cc,Swartkops,,Eastern Cape,Motherwell Cc,Swartkops
,Springbok,Northern Cape,,,Swartruggens,,,Swartruggens,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North West,Zeerust Cc,Swartruggens,,North West,Zeerust Cc,Swartruggens
,Steinkopf,Northern Cape,,,Swellendam,,,Swellendam,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Worcester Cc,Swellendam,,Western Cape,Worcester Cc,Swellendam
,Strydenburg,Northern Cape,,,Sydenham,,,Sydenham,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Inanda Cc,Sydenham,,Kwazulu/Natal,Inanda Cc,Sydenham
,Sunrise,Northern Cape,,,Tabase,,,Tabase,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Mount Fletcher Cc,Tabase,,Eastern Cape,Mount Fletcher Cc,Tabase
,Sutherland,Northern Cape,,,Table Bay Harbour,,,Table Bay Harbour,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Cape Town Central Cc,Table Bay Harbour,,Western Cape,Cape Town Central Cc,Table Bay Harbour
,Tsineng,Northern Cape,,,Table View,,,Table View,Western Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Cape,Milnerton Cc,Table View,,Western Cape,Milnerton Cc,Table View
,Upington,Northern Cape,,,Tamara,,,Tamara,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,King William'S T Cc,Tamara,,Eastern Cape,King William'S T Cc,Tamara
,Van Zylsrus,Northern Cape,,,Tarkastad,,,Tarkastad,Eastern Cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,Cradock Cc,Tarkastad,,Eastern Cape,Cradock Cc,Tarkastad
,Vanderkloof,Northern Cape,,,Tarlton,,,Tarlton,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Krugersdorp Cc,Tarlton,,Gauteng,Krugersdorp Cc,Tarlton
,Vanwyksvlei,Northern Cape,,,Taung,,,Taung,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North West,Pudimoe Cc,Taung,,North West,Pudimoe Cc,Taung
,Victoria West,Northern Cape,,,Taylors Halt,,,Taylors Halt,Kwazulu/Natal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu/Natal,Plessislaer Cc,Taylors Halt,,Kwazulu/Natal,Plessislaer Cc,Taylors Halt
,Vioolsdrif,Northern Cape,,,Temba,,,Temba,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Temba Cc,Temba,,Gauteng,Temba Cc,Temba
,Vosburg,Northern Cape,,,Tembisa,,,Tembisa,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Tembisa Cc,Tembisa,,Gauteng,Tembisa Cc,Tembisa
,Warrenton,Northern Cape,,,Tembisa South,,,Tembisa South,Gauteng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gauteng,Tembisa Cc,Tembisa South,,Gauteng,Tembisa Cc,Tembisa South
