Province,Station,Category,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,Severity,Slope,Residual
Free State,Maokeng,Murder,28,32,23,27,26,32,19,19,20,26,13,1,-1.1909090909090916,30.045454545454557
Gauteng,Heidelberg (Gp),Murder,18,21,7,4,8,4,4,5,3,8,5,1,-1.1909090909090907,13.863636363636363
Kwazulu/Natal,Isipingo,Murder,67,40,48,34,56,31,28,41,49,40,43,1,-1.1909090909090891,49.318181818181806
Gauteng,Pretoria Central,Murder,28,24,26,19,25,23,21,17,20,16,14,1,-1.163636363636363,27.0
Kwazulu/Natal,Vryheid,Murder,29,35,24,23,26,19,23,24,20,23,16,1,-1.1454545454545448,29.54545454545455
Kwazulu/Natal,Tongaat,Murder,25,33,38,44,38,39,23,17,29,28,23,1,-1.1454545454545446,36.36363636363636
Eastern Cape,Bityi,Murder,24,134,33,27,41,43,49,50,42,41,57,1,-1.1454545454545428,54.90909090909089
Western Cape,Paarl East,Murder,37,26,29,27,23,20,22,21,18,25,22,1,-1.1363636363636351,30.22727272727272
Kwazulu/Natal,Emanguzi,Murder,30,22,22,15,10,18,13,15,14,15,15,1,-1.1272727272727263,22.818181818181813
Mpumalanga,Acornhoek,Murder,21,30,31,23,28,22,26,19,22,20,12,1,-1.1090909090909076,28.636363636363633
Western Cape,Vredenburg,Murder,30,22,22,21,18,17,9,18,16,22,13,1,-1.072727272727273,24.272727272727284
Gauteng,Meadowlands,Murder,40,67,74,53,48,46,39,47,42,47,56,1,-1.0636363636363626,56.13636363636365
Kwazulu/Natal,Wentworth,Murder,18,18,17,14,11,8,7,11,9,10,8,1,-1.054545454545455,17.181818181818187
Kwazulu/Natal,Verulam,Murder,48,55,53,48,56,46,37,36,42,55,40,1,-1.054545454545454,52.18181818181818
